venue,year,identifier,heading,title,authors,page_range,length,electronic_edition,comment
icml,2024,conf/icml/icml2024,,A Dynamic Algorithm for Weighted Submodular Cover Problem.,Kiarash Banihashem; Samira Goudarzi; MohammadTaghi Hajiaghayi; Peyman Jabbarzade; Morteza Monemizadeh,,0,https://openreview.net/forum?id=uUeXaKLE1I,
icml,2024,conf/icml/icml2024,,Rethinking Data Shapley for Data Selection Tasks: Misleads and Merits.,Jiachen T. Wang; Tianji Yang; James Zou; Yongchan Kwon; Ruoxi Jia,,0,https://openreview.net/forum?id=mKYBMf1hHG,
icml,2024,conf/icml/icml2024,,Is DPO Superior to PPO for LLM Alignment? A Comprehensive Study.,Shusheng Xu; Wei Fu; Jiaxuan Gao; Wenjie Ye; Weilin Liu; Zhiyu Mei; Guangju Wang; Chao Yu; Yi Wu,,0,https://openreview.net/forum?id=6XH8R7YrSk,
icml,2024,conf/icml/icml2024,,Trained Random Forests Completely Reveal your Dataset.,Julien Ferry; Ricardo Fukasawa; Timothée Pascal; Thibaut Vidal,,0,https://openreview.net/forum?id=cc72Vnfvoc,
icml,2024,conf/icml/icml2024,,LoRA Training in the NTK Regime has No Spurious Local Minima.,Uijeong Jang; Jason D. Lee; Ernest K. Ryu,,0,https://openreview.net/forum?id=s1sdx6vNsU,
icml,2024,conf/icml/icml2024,,SAPG: Split and Aggregate Policy Gradients.,Jayesh Singla; Ananye Agarwal; Deepak Pathak,,0,https://openreview.net/forum?id=4dOJAfXhNV,
icml,2024,conf/icml/icml2024,,How Private are DP-SGD Implementations?,Lynn Chua; Badih Ghazi; Pritish Kamath; Ravi Kumar; Pasin Manurangsi; Amer Sinha; Chiyuan Zhang,,0,https://openreview.net/forum?id=xWI0MKwJSS,
icml,2024,conf/icml/icml2024,,From Coarse to Fine: Enable Comprehensive Graph Self-supervised Learning with Multi-granular Semantic Ensemble.,Qianlong Wen; Mingxuan Ju; Zhongyu Ouyang; Chuxu Zhang; Yanfang Ye,,0,https://openreview.net/forum?id=JnA9IveEwg,
icml,2024,conf/icml/icml2024,,Discrete Diffusion Modeling by Estimating the Ratios of the Data Distribution.,Aaron Lou; Chenlin Meng; Stefano Ermon,,0,https://openreview.net/forum?id=CNicRIVIPA,
icml,2024,conf/icml/icml2024,,Discovering Environments with XRM.,Mohammad Pezeshki; Diane Bouchacourt; Mark Ibrahim; Nicolas Ballas; Pascal Vincent; David Lopez-Paz,,0,https://openreview.net/forum?id=gPStP3FSY9,
